EventDate,Var2,Var3,Var4,Var5
30-Jun-1912,Northern America,Storm,Convective storm,Tornado
01-Jul-1929,Western Europe,Storm,Convective storm,Hail
13-Jun-1930,Southern Europe,Storm,Convective storm,Hail
01-Nov-1950,Northern America,Storm,Convective storm,Tornado
04-Jan-1951,Eastern Africa,Storm,Convective storm,Tornado
01-Jul-1953,Western Europe,Storm,Convective storm,Severe storm
16-Feb-1959,Northern America,Storm,Convective storm,Winter storm/Blizzard
01-Feb-1962,Western Europe,Storm,Convective storm,Severe storm
17-Jun-1966,Western Europe,Storm,Convective storm,Tornado
04-Mar-1966,Northern America,Storm,Convective storm,Winter storm/Blizzard
04-Apr-1966,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
25-Jun-1967,Western Europe,Storm,Convective storm,Tornado
25-Jun-1967,Western Europe,Storm,Convective storm,Tornado
10-Jul-1968,Western Europe,Storm,Convective storm,Tornado
04-Mar-1971,Northern America,Storm,Convective storm,Winter storm/Blizzard
04-May-1971,Northern America,Mass movement (dry),Landslide,Mudslide
02-Apr-1972,Southern Asia,Storm,Convective storm,Tornado
01-Jan-1973,South America,Storm,Convective storm,Tornado
28-Apr-1975,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
10-Jan-1976,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
02-Nov-1976,Australia and New Zealand,Storm,Convective storm,Tornado
10-Apr-1976,Southern Asia,Storm,Convective storm,Tornado
09-May-1976,Southern Asia,Storm,Convective storm,Tornado
01-Jan-1977,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
06-Oct-1977,Southern Asia,Storm,Convective storm,Tornado
17-Mar-1978,Southern Asia,Storm,Convective storm,Tornado
16-Apr-1978,Southern Asia,Storm,Convective storm,Tornado
16-Apr-1978,Southern Asia,Storm,Convective storm,Tornado
01-Jan-1903,Northern America,Storm,Convective storm,Tornado
01-Mar-1913,Northern America,Storm,Convective storm,Tornado
20-Apr-1920,Northern America,Storm,Convective storm,Tornado
10-Jul-1923,Russian Federation,Storm,Convective storm,Hail
17-Mar-1925,Northern America,Storm,Convective storm,Tornado
01-Sep-1927,Northern America,Storm,Convective storm,Tornado
06-Jul-1928,Eastern Europe,Storm,Convective storm,Tornado
01-May-1928,Eastern Europe,Storm,Convective storm,Hail
21-Mar-1932,Northern America,Storm,Convective storm,Tornado
05-Apr-1936,Northern America,Storm,Convective storm,Tornado
10-Mar-1939,Southern Asia,Storm,Convective storm,Hail
01-Jun-1953,Northern America,Storm,Convective storm,Tornado
01-Jan-1963,Northern America,Storm,Convective storm,Tornado
13-Sep-1964,Central America,Storm,Convective storm,Tornado
08-May-1964,Western Asia,Storm,Convective storm,Hail
05-Jul-1965,Southern Europe,Storm,Convective storm,Tornado
11-Apr-1965,Northern America,Storm,Convective storm,Tornado
15-Mar-1966,Western Africa,Storm,Convective storm,Tornado
08-Jun-1966,Northern America,Storm,Convective storm,Tornado
11-May-1970,Northern America,Storm,Convective storm,Tornado
10-Feb-1972,Southern Asia,Storm,Convective storm,Winter storm/Blizzard
04-Feb-1972,Western Asia,Storm,Convective storm,Winter storm/Blizzard
02-Apr-1974,Northern America,Storm,Convective storm,Tornado
22-Oct-1977,Eastern Africa,Storm,Convective storm,Hail
25-Jun-1978,Southern Europe,Storm,Convective storm,Tornado
05-Feb-1978,Northern America,Storm,Convective storm,Winter storm/Blizzard
01-Nov-1979,Australia and New Zealand,Storm,Convective storm,Hail
06-May-1979,Northern Africa,Storm,Convective storm,Sand/Dust storm
25-Jun-1980,South America,Storm,Convective storm,Tornado
24-Dec-1980,Northern Europe,Storm,Convective storm,Severe storm
07-Aug-1980,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
28-Jul-1981,Northern America,Storm,Convective storm,Hail
01-Nov-1981,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
19-Jul-1981,Western Europe,Storm,Convective storm,Winter storm/Blizzard
15-Apr-1981,Southern Asia,Storm,Convective storm,Tornado
10-Nov-1981,Eastern Europe,Storm,Convective storm,Winter storm/Blizzard
15-Apr-1981,Eastern Asia,Storm,Convective storm,Hail
19-Jul-1981,Eastern Europe,Storm,Convective storm,Winter storm/Blizzard
19-Mar-1981,Eastern Asia,Storm,Convective storm,Hail
15-Nov-1982,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
15-Dec-1982,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
20-Sep-1982,Western Europe,Storm,Convective storm,Tornado
18-Apr-1983,Caribbean,Storm,Convective storm,Tornado
26-Apr-1983,Southern Asia,Storm,Convective storm,Tornado
15-Jan-1983,Western Europe,Storm,Convective storm,Winter storm/Blizzard
01-Apr-1983,Eastern Asia,Storm,Convective storm,Tornado
14-Apr-1983,Eastern Asia,Storm,Convective storm,Tornado
17-Jun-1983,South America,Storm,Convective storm,Tornado
23-Apr-1983,Western Asia,Storm,Convective storm,Hail
26-Jul-1983,Western Europe,Storm,Convective storm,Severe storm
01-Feb-1983,Northern Europe,Storm,Convective storm,Severe storm
12-Jul-1984,Western Europe,Storm,Convective storm,Hail
12-Jul-1984,Western Europe,Storm,Convective storm,Hail
21-Nov-1984,Western Europe,Storm,Convective storm,Severe storm
09-Oct-1984,South America,Storm,Convective storm,Tornado
01-Jul-1984,South America,Storm,Convective storm,Winter storm/Blizzard
22-Nov-1984,Eastern Europe,Storm,Convective storm,Severe storm
22-Nov-1984,Western Europe,Storm,Convective storm,Severe storm
11-Jul-1984,Western Europe,Storm,Convective storm,Severe storm
21-Nov-1984,Western Europe,Storm,Convective storm,Severe storm
24-Jan-1984,Northern Europe,Storm,Convective storm,Winter storm/Blizzard
18-Jan-1985,Australia and New Zealand,Storm,Convective storm,Hail
01-Sep-1985,Australia and New Zealand,Storm,Convective storm,Hail
01-Aug-1985,Western Europe,Storm,Convective storm,Severe storm
28-Mar-1985,Southern Asia,Storm,Convective storm,Tornado
30-Sep-1985,South America,Storm,Convective storm,Hail
29-May-1985,Northern America,Storm,Convective storm,Tornado
15-Aug-1985,Western Europe,Storm,Convective storm,Hail
01-Aug-1985,Western Europe,Storm,Convective storm,Severe storm
01-Aug-1985,Western Europe,Storm,Convective storm,Severe storm
01-Aug-1985,Northern Europe,Storm,Convective storm,Severe storm
01-Aug-1985,Western Europe,Storm,Convective storm,Severe storm
01-Dec-1986,South America,Storm,Convective storm,Tornado
01-Jan-1986,Australia and New Zealand,Storm,Convective storm,Hail
04-Apr-1986,Southern Asia,Storm,Convective storm,Hail
01-Jan-1986,Northern America,Storm,Convective storm,Tornado
01-Aug-1986,Western Europe,Storm,Convective storm,Hail
15-Jun-1986,South America,Storm,Convective storm,Severe storm
01-Jan-1986,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
31-Jul-1987,Northern America,Storm,Convective storm,Tornado
06-Mar-1987,Eastern Asia,Storm,Convective storm,Tornado
31-Jul-1987,Eastern Asia,Storm,Convective storm,Tornado
24-Aug-1987,Southern Europe,Storm,Convective storm,Hail
09-May-1980,Southern Asia,Storm,Convective storm,Sand/Dust storm
13-Jun-1980,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
17-Apr-1981,Southern Asia,Storm,Convective storm,Tornado
10-Mar-1981,Southern Asia,Storm,Convective storm,Tornado
06-Oct-1982,Western Africa,Mass movement (dry),Landslide,Mudslide
01-Feb-1982,Western Asia,Storm,Convective storm,Severe storm
01-Dec-1983,Central America,Storm,Convective storm,Winter storm/Blizzard
16-Sep-1983,South-Eastern Asia,Storm,Convective storm,Tornado
01-Jan-1983,Eastern Europe,Storm,Convective storm,Severe storm
21-Nov-1984,Western Europe,Storm,Convective storm,Severe storm
01-Aug-1985,Western Europe,Storm,Convective storm,Severe storm
16-Nov-1986,Southern Asia,Storm,Convective storm,Winter storm/Blizzard
01-Apr-1986,Eastern Asia,Storm,Convective storm,Winter storm/Blizzard
31-May-1986,Southern Asia,Storm,Convective storm,Sand/Dust storm
01-Jan-1987,Southern Asia,Storm,Convective storm,Hail
12-Mar-1988,Southern Asia,Storm,Convective storm,Hail
01-Apr-1988,Eastern Africa,Storm,Convective storm,Lightning/Thunderstorms
23-Jul-1988,Southern Asia,Storm,Convective storm,Lightning/Thunderstorms
21-Oct-1988,South-Eastern Asia,Storm,Convective storm,Tornado
06-Sep-1988,Melanesia,Mass movement (dry),Landslide,Mudslide
10-Apr-1979,Northern America,Storm,Convective storm,Tornado
10-Apr-1979,Northern America,Storm,Convective storm,Winter storm/Blizzard
09-May-1981,Northern America,Storm,Convective storm,Tornado
02-Apr-1982,Northern America,Storm,Convective storm,Tornado
07-May-1982,Northern America,Storm,Convective storm,Tornado
05-Apr-1982,Northern America,Storm,Convective storm,Winter storm/Blizzard
25-Dec-1982,Northern America,Storm,Convective storm,Winter storm/Blizzard
01-Jun-1983,Russian Federation,Storm,Convective storm,Severe storm
01-May-1983,South-Eastern Asia,Storm,Convective storm,Severe storm
01-Jun-1984,Russian Federation,Storm,Convective storm,Tornado
27-Mar-1984,Northern America,Storm,Convective storm,Tornado
13-Jun-1984,Northern America,Storm,Convective storm,Tornado
01-Nov-1984,Southern Africa,Storm,Convective storm,Hail
29-May-1985,Northern America,Storm,Convective storm,Tornado
