Title,DisasterType,Date
HOPE Wildfire  Stevens  Washington,Wildfires,08-Jul-2025
Hot Canyon Wildfire  Elko  Nevada,Wildfires,08-Jul-2025
13 MILE FIRE Wildfire  Palm Beach  Florida,Wildfires,08-Jul-2025
UDC Fire Wildfire  Jefferson  Oregon,Wildfires,07-Jul-2025
0482 SUNRISE Wildfire  Crook  Oregon,Wildfires,07-Jul-2025
Wheeler Wildfire  Yukon-Koyukuk  Alaska,Wildfires,07-Jul-2025
Sikik Wildfire  Northwest Arctic  Alaska,Wildfires,06-Jul-2025
Tropical Storm Chantal,Severe Storms,05-Jul-2025
Tsukon Wildfire  Yukon-Koyukuk  Alaska,Wildfires,04-Jul-2025
Bartlett Wildfire  Humboldt  Nevada,Wildfires,04-Jul-2025
Flicker Wildfire  Phillips  Montana,Wildfires,04-Jul-2025
Typhoon Danas,Severe Storms,04-Jul-2025
BARBER Wildfire  Pershing  Nevada,Wildfires,04-Jul-2025
BUTLER Wildfire  Siskiyou  California,Wildfires,03-Jul-2025
Uncle Sam Creek Wildfire  Fairbanks North Star  Alaska,Wildfires,03-Jul-2025
MARBLE COMPLEX Incident Complex  Siskiyou  California,Wildfires,03-Jul-2025
Rx Jasper 3208 Prescribed Fire  Jasper  Texas,Wildfires,03-Jul-2025
Wilder Wildfire  Fergus  Montana,Wildfires,03-Jul-2025
Spring Creek Wildfire  Platte  Wyoming,Wildfires,02-Jul-2025
APPLE ACRES Wildfire  Chelan  Washington,Wildfires,02-Jul-2025
SIEGEL Wildfire  Spokane  Washington,Wildfires,02-Jul-2025
COLD SPRINGS Wildfire  Umatilla  Oregon,Wildfires,02-Jul-2025
Juniper Wildfire  Yavapai  Arizona,Wildfires,02-Jul-2025
0391 GRIZZLY FLAT Wildfire  Jefferson  Oregon,Wildfires,02-Jul-2025
GREEN Wildfire  Shasta  California,Wildfires,02-Jul-2025
Tropical Storm Mun,Severe Storms,02-Jul-2025
Powder River Wildfire  Johnson  Wyoming,Wildfires,01-Jul-2025
HALL Wildfire  Hot Springs  Wyoming,Wildfires,01-Jul-2025
Black Canyon Wildfire  Lake  Oregon,Wildfires,01-Jul-2025
Mosquito Wildfire  Monroe  Florida,Wildfires,01-Jul-2025
JUNIPER Wildfire  Riverside  California,Wildfires,30-Jun-2025
WOLF Wildfire  Riverside  California,Wildfires,29-Jun-2025
Taylor Draw Wildfire  Carbon  Wyoming,Wildfires,29-Jun-2025
Oak Ridge Wildfire  Apache  Arizona,Wildfires,28-Jun-2025
Horse Draw Wildfire  Moffat  Colorado,Wildfires,26-Jun-2025
EVP CP-1 Exotics Rx 0626 Prescribed Fire  Monroe  Florida,Wildfires,26-Jun-2025
EVP CP-1 Exotics Rx 0625 Prescribed Fire  Monroe  Florida,Wildfires,25-Jun-2025
EVER CP-1 Exotics Rx Prescribed Fire  Monroe  Florida,Wildfires,25-Jun-2025
FPR CPT 35 36 Rx 0625 Prescribed Fire  Collier  Florida,Wildfires,25-Jun-2025
OKR Soldiers Camp Island Rx 0625 Prescribed Fire  Ware  Georgia,Wildfires,25-Jun-2025
Indian Prairie Canal (22) Wildfire  Glades  Florida,Wildfires,24-Jun-2025
HENRY GEORGE WEST (29)~ Wildfire  Hillsborough  Florida,Wildfires,24-Jun-2025
OKR Floyds Island Rx 0624 Prescribed Fire  Charlton  Georgia,Wildfires,24-Jun-2025
Racquet Wildfire  Yukon-Koyukuk  Alaska,Wildfires,23-Jun-2025
BARSTOW ROAD Wildfire  Walla Walla  Washington,Wildfires,23-Jun-2025
New Cottonwood Wildfire  Northwest Arctic  Alaska,Wildfires,22-Jun-2025
Shortcut Wildfire  Yukon-Koyukuk  Alaska,Wildfires,22-Jun-2025
Ikpikpuk Wildfire  North Slope  Alaska,Wildfires,22-Jun-2025
Bronx Wildfire  North Slope  Alaska,Wildfires,22-Jun-2025
Nenana Ridge Complex Incident Complex  Fairbanks North Star  Alaska,Wildfires,22-Jun-2025
Kirishimayama Volcano  Japan,Volcanoes,22-Jun-2025
Roundabout Complex Incident Complex  Yukon-Koyukuk  Alaska,Wildfires,21-Jun-2025
Yellow Wildfire  Yukon-Koyukuk  Alaska,Wildfires,21-Jun-2025
East Gakona River Wildfire  Copper River  Alaska,Wildfires,21-Jun-2025
Sand Lake Wildfire  Southeast Fairbanks  Alaska,Wildfires,21-Jun-2025
Kerulu Wildfire  Northwest Arctic  Alaska,Wildfires,21-Jun-2025
Tallowpot Wildfire  Northwest Arctic  Alaska,Wildfires,21-Jun-2025
McArthur Creek Wildfire  Southeast Fairbanks  Alaska,Wildfires,21-Jun-2025
Ridgeline Wildfire  Southeast Fairbanks  Alaska,Wildfires,20-Jun-2025
River Trail Wildfire  Southeast Fairbanks  Alaska,Wildfires,20-Jun-2025
Moldy Wildfire  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Louie Wildfire  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Ptarmigan Complex Incident Complex  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Fish Lake Wildfire  Copper River  Alaska,Wildfires,20-Jun-2025
Porphyry Wildfire  Southeast Fairbanks  Alaska,Wildfires,20-Jun-2025
Goldstream Creek Wildfire  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Salmon Trout Wildfire  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Aggie Creek Wildfire  Fairbanks North Star  Alaska,Wildfires,20-Jun-2025
Alligator Wildfire  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Buckley Bar Wildfire  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Pilot Creek Wildfire  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Susulatna Hills Wildfire  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Easter Wildfire  North Slope  Alaska,Wildfires,20-Jun-2025
Colowyo Wildfire  Moffat  Colorado,Wildfires,20-Jun-2025
Hay Wildfire  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Birch Wildfire  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Christian Wildfire  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Richards Wildfire  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Takoma Wildfire  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Michigan Wildfire  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Conner Wildfire  Douglas  Nevada,Wildfires,20-Jun-2025
EVP HID Rx 0620 Prescribed Fire  Miami-Dade  Florida,Wildfires,20-Jun-2025
Saint George Creek Wildfire  Denali  Alaska,Wildfires,20-Jun-2025
Turtle Wildfire  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Bonanza Creek Wildfire  Fairbanks North Star  Alaska,Wildfires,20-Jun-2025
Ikheenjik Wildfire  Yukon-Koyukuk  Alaska,Wildfires,20-Jun-2025
Forsyth Wildfire  Washington  Utah,Wildfires,19-Jun-2025
Aniralik Wildfire  Northwest Arctic  Alaska,Wildfires,19-Jun-2025
BCP Mullet B Rx 0619 Prescribed Fire  Collier  Florida,Wildfires,19-Jun-2025
BAER BUCK Emergency Stabilization  Catron  New Mexico,Wildfires,18-Jun-2025
SMR Port Leon West Rx 0618 Prescribed Fire  Wakulla  Florida,Wildfires,18-Jun-2025
SEVEN SPRINGS Wildfire  Otero  New Mexico,Wildfires,17-Jun-2025
0300 WOLF HOLLOW GILLIAM COUNTY ASSIST Wildfire  Gilliam  Oregon,Wildfires,17-Jun-2025
MONTE Wildfire  San Diego  California,Wildfires,17-Jun-2025
Tango Wildfire  Yukon-Koyukuk  Alaska,Wildfires,17-Jun-2025
HelpMeJack Wildfire  Yukon-Koyukuk  Alaska,Wildfires,17-Jun-2025
Tagagawik Wildfire  Yukon-Koyukuk  Alaska,Wildfires,17-Jun-2025
BCP Mullet B Rx 0617 Prescribed Fire  Collier  Florida,Wildfires,17-Jun-2025
Telidaside Wildfire  Yukon-Koyukuk  Alaska,Wildfires,16-Jun-2025
Hogatza Wildfire  Yukon-Koyukuk  Alaska,Wildfires,16-Jun-2025
Kawichiark 2 Wildfire  Northwest Arctic  Alaska,Wildfires,16-Jun-2025
Kawichiark 1 Wildfire  Northwest Arctic  Alaska,Wildfires,16-Jun-2025
0291 ALDER SPRINGS Wildfire  Jefferson  Oregon,Wildfires,16-Jun-2025
APQ Area 1 Rx 0616 Prescribed Fire  Polk  Florida,Wildfires,16-Jun-2025
BCP Mullet B Rx 0616 Prescribed Fire  Collier  Florida,Wildfires,16-Jun-2025
pouch point Wildfire  Mountrail  North Dakota,Wildfires,14-Jun-2025
pouch point Wildfire  Mountrail  North Dakota,Wildfires,14-Jun-2025
Oskawalik Wildfire  Bethel  Alaska,Wildfires,14-Jun-2025
pouch point Wildfire  Mountrail  North Dakota,Wildfires,14-Jun-2025
BCP Mullet B Rx 0614 Prescribed Fire  Collier  Florida,Wildfires,14-Jun-2025
DOGS Wildfire  Kern  California,Wildfires,13-Jun-2025
Mines Spung Wildfire  Burlington  New Jersey,Wildfires,13-Jun-2025
Bridge Creek Wildfire  San Juan  Utah,Wildfires,13-Jun-2025
Horse Wildfire  Sublette  Wyoming,Wildfires,13-Jun-2025
POMAS Wildfire  Chelan  Washington,Wildfires,13-Jun-2025
VANSYCLE CANYON Wildfire  Walla Walla  Washington,Wildfires,13-Jun-2025
Gyetta South RX Prescribed Fire  Yavapai  Arizona,Wildfires,12-Jun-2025
BUCK Wildfire  Catron  New Mexico,Wildfires,12-Jun-2025
Trout Wildfire  Grant  New Mexico,Wildfires,12-Jun-2025
VANSYCLE CANYON Wildfire  Walla Walla  Washington,Wildfires,12-Jun-2025
0262 FERRY Wildfire  Sherman  Oregon,Wildfires,12-Jun-2025
France Canyon Wildfire  Garfield  Utah,Wildfires,11-Jun-2025
Rosencrans Wildfire  Lincoln  Nevada,Wildfires,11-Jun-2025
ROWENA Wildfire  Wasco  Oregon,Wildfires,11-Jun-2025
Ollie Roberts Road- Hardee Wildfire  Hardee  Florida,Wildfires,11-Jun-2025
